,id,miles,name,powertrain,price,state,brand,model,year,capacity,Certified,strange_pt2,gearbox,dwheel,ext,int
0,697199037,61486,Used 2006 Lexus IS 250 Auto,6-Speed Automatic | RWD,11788,FL,lexus,IS,2006,,0,0,auto,RWD,Glacier Frost Mica,Cashmere
1,694931825,37919,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,22993,KY,lexus,IS,2014,,0,0,auto,RWD,Nebula Gray Pearl,Flaxen
2,699946115,33851,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,27795,TX,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Light Gray
3,699820190,107313,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,10991,OH,lexus,IS,2008,,0,0,auto,AWD,Starfire Pearl,Cashmere
4,699842226,58213,Used 2013 Lexus IS 250 Base,6-Speed Automatic | RWD,20516,AR,lexus,IS,2013,,0,0,auto,RWD,Red,Saddle
5,697956435,52919,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,18739,NC,lexus,IS,2012,,0,0,auto,RWD,Obsidian Black,Black
6,699649910,13212,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,29000,MD,lexus,IS,2014,,0,0,auto,AWD,Deep Sea Mica,Flaxen
7,684332953,87354,Used 2010 Lexus IS 250C,OTHER | RWD,16995,IL,lexus,IS,2010,,0,0,,RWD,Matador Red Mica,Black
8,687503503,39842,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,24658,GA,lexus,IS,2014,,0,0,auto,RWD,Liquid Platinum,Black
9,659489064,30625,Used 2013 Lexus IS 250 Base,6-Speed Automatic | RWD,21288,CA,lexus,IS,2013,,0,0,auto,RWD,Red,
10,696482024,83710,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,20484,TN,lexus,IS,2014,,0,0,auto,RWD,Black,Black
11,690057606,26525,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,25994,TX,lexus,IS,2015,,0,0,auto,RWD,Atomic Silver,Black
12,698660433,34436,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | RWD,26410,TX,lexus,IS,2015,,0,0,auto,RWD,Obsidian Black,Parchment
13,699960255,32494,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,28500,GA,lexus,IS,2014,,0,0,auto,RWD,Nebula Gray Pearl,Light Gray
14,697467677,16260,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,36000,CT,lexus,IS,2016,,0,0,auto,AWD,White,
15,699102772,19802,Used 2014 Lexus IS 250,6-Speed Automatic w/OD | AWD,28988,IL,lexus,IS,2014,,0,0,auto,AWD,White,
16,699769005,21441,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,25600,GA,lexus,IS,2014,,0,0,auto,RWD,Black,Black
17,696416307,17750,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27561,CO,lexus,IS,2014,,0,0,auto,AWD,Atomic Silver,Light Gray
18,698280774,13393,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,31500,CT,lexus,IS,2015,,1,0,auto,AWD,Nebula Gray Pearl,
19,698836892,115677,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,13486,CO,lexus,IS,2008,,0,0,auto,AWD,Tungsten Pearl,Black
20,700582196,18907,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,29998,CA,lexus,IS,2015,,0,0,auto,RWD,Ultra White,Red
21,700043892,23278,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,30998,CA,lexus,IS,2015,,0,0,auto,RWD,Ultra White,Black
22,698039167,97417,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,14586,KY,lexus,IS,2011,,0,0,auto,RWD,Tungsten Pearl,Light Gray
23,700003676,34811,Used 2014 Lexus IS 250,6-Speed Automatic | RWD,25897,GA,lexus,IS,2014,,0,0,auto,RWD,Silver Lining Metallic,Light Gray
24,700368234,76455,Used 2011 Lexus IS 250 Base,6-Speed Automatic | RWD,16491,IL,lexus,IS,2011,,0,0,auto,RWD,Black,Black
25,698078532,82143,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,15000,OK,lexus,IS,2012,,0,0,auto,RWD,Matador Red Mica,Black
26,699614734,114090,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,12498,WI,lexus,IS,2008,,0,0,auto,AWD,Smoky Granite Mica,Cashmere
27,698634496,9065,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33500,TN,lexus,IS,2016,,1,0,auto,RWD,Eminent White Pearl,Parchment
28,698634407,44563,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,26000,TN,lexus,IS,2014,,1,0,auto,RWD,Starfire Pearl,Parchment
29,688360792,3107,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,35000,NC,lexus,IS,2016,,0,0,auto,AWD,Ultrasonic Blue Mica,Black
30,698634469,7340,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33250,TN,lexus,IS,2016,,1,0,auto,RWD,Eminent White Pearl,Parchment
31,699808449,15283,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,27500,OH,lexus,IS,2015,,0,0,auto,AWD,Silver,Black
32,699912998,23662,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,28980,IL,lexus,IS,2015,,0,0,auto,AWD,Nebula Gray Pearl,Black
33,694421811,91696,Used 2009 Lexus IS 250,6-Speed Automatic | RWD,13184,CA,lexus,IS,2009,,0,0,auto,RWD,Tungsten Pearl,Black
34,699579494,9625,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,40000,CO,lexus,IS,2016,,0,0,auto,AWD,Gray,
35,700582233,13805,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,25998,CA,lexus,IS,2015,,0,0,auto,RWD,Silver Lining Metallic,Black
36,699933675,52852,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,17988,NY,lexus,IS,2011,,0,0,auto,AWD,Gray,Black
37,696554846,60545,Used 2011 Lexus IS 250 Base,RWD,20942,AL,lexus,IS,2011,,0,0,,RWD,White,Black
38,697364530,10715,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,32995,MA,lexus,IS,2015,,1,0,auto,AWD,Silver Metallic,Black
39,697021197,13473,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,32495,MA,lexus,IS,2015,,1,0,auto,AWD,Obsidian Black,Black
40,696295704,16812,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,31995,MA,lexus,IS,2015,,1,0,auto,AWD,Nebula Gray Pearl,Black
41,696295805,18318,Certified 2014 Lexus IS 250,6-Speed Automatic | AWD,29495,MA,lexus,IS,2014,,1,0,auto,AWD,Obsidian Black,Black
42,698039039,20920,Certified 2013 Lexus IS 250C,6-Speed Automatic | RWD,34495,MA,lexus,IS,2013,,1,0,auto,RWD,Starfire Pearl,Black
43,696295857,22401,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,30995,MA,lexus,IS,2015,,1,0,auto,AWD,Starfire Pearl,Parchment
44,695522201,22471,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,28800,OR,lexus,IS,2014,,0,0,auto,AWD,Nebula Gray Pearl,Black
45,695964176,24355,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,30995,MA,lexus,IS,2015,,1,0,auto,AWD,Silver Lining Metallic,Black
46,697364512,25424,Certified 2014 Lexus IS 250,6-Speed Automatic | AWD,28995,MA,lexus,IS,2014,,1,0,auto,AWD,Obsidian Black,Black
47,696602421,29427,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,29995,MA,lexus,IS,2015,,1,0,auto,AWD,Nebula Gray Pearl,Black
48,695963851,35035,Certified 2014 Lexus IS 250,6-Speed Automatic | AWD,26498,MA,lexus,IS,2014,,1,0,auto,AWD,Obsidian Black,Parchment
49,700075455,38026,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,26500,NC,lexus,IS,2014,,0,0,auto,RWD,Starfire Pearl,Parchment
50,700205762,38519,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27190,NC,lexus,IS,2014,,0,0,auto,AWD,Just Traded Lthr Roof Nav Camera,
51,698985405,40277,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,25500,MA,lexus,IS,2014,,0,0,auto,RWD,Ultrasonic Blue Mica,Sterling
52,697901525,47960,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,16285,NC,lexus,IS,2011,,0,0,auto,AWD,Silver,Gray
53,698684075,55480,Used 2011 Lexus IS 250 Base,6-Speed Automatic | AWD,18585,NC,lexus,IS,2011,,0,0,auto,AWD,Blue,Stone
54,699902881,56514,Certified 2012 Lexus IS 250,6-Speed Automatic | AWD,23333,MA,lexus,IS,2012,,1,0,auto,AWD,Nebula Gray Pearl,Light Gray
55,699131815,58864,Used 2011 Lexus IS 250 4DR SPT AWD w/ Moonroof,Automatic | AWD,19587,WI,lexus,IS,2011,,0,0,auto,AWD,Matador Red Mica,
56,699765649,62557,Used 2012 Lexus IS 250 Base,6-Speed Automatic | RWD,19000,CA,lexus,IS,2012,,0,0,auto,RWD,Starfire Pearl,Light Gray
57,697892592,78482,Used 2010 Lexus IS 250C,6-Speed | RWD,18953,MA,lexus,IS,2010,,0,0,,RWD,Red,Black
58,700269289,13297,Used 2014 Lexus IS 250C Base,6-Speed Automatic | RWD,36998,CA,lexus,IS,2014,,0,0,auto,RWD,Starfire Pearl,Saddle
59,696196597,21090,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,27500,WI,lexus,IS,2014,,1,0,auto,AWD,Gray,Black
60,696676717,22795,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,26000,FL,lexus,IS,2015,,0,0,auto,RWD,Silver,
61,695593549,26397,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,28900,OR,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Black
62,694189982,36434,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,24000,GA,lexus,IS,2015,,0,0,auto,RWD,Obsidian Black,Black
63,699830045,47895,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,28999,IL,lexus,IS,2014,,0,0,auto,AWD,Black,Black
64,695954923,51158,Used 2013 Lexus IS 250 Base,6-Speed Automatic | AWD,21477,WA,lexus,IS,2013,,0,0,auto,AWD,Gray Metallic,Black
65,699070221,55301,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,17450,IL,lexus,IS,2012,,0,0,auto,AWD,Deep Sea Mica,Light Gray
66,699614707,89843,Used 2010 Lexus IS 250,6-Speed Automatic | AWD,13998,WI,lexus,IS,2010,,0,0,auto,AWD,Obsidian Black,Ecru / Light Brown
67,698524291,8459,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,38991,WI,lexus,IS,2016,,1,0,auto,AWD,Silver,Brown
68,700143765,12087,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,32300,OR,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Red
69,700143732,18910,Used 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,32800,OR,lexus,IS,2014,,0,0,auto,AWD,Nebula Gray Pearl,Parchment
70,699430437,19448,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,28777,MS,lexus,IS,2015,,0,0,auto,RWD,Black,Black
71,697044711,23551,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,30700,OR,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Black
72,699430393,26368,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,31777,MS,lexus,IS,2015,,0,0,auto,RWD,White,Black
73,698677679,34429,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,29900,IL,lexus,IS,2014,,1,0,auto,AWD,Silver Lining,Black
74,690206658,49089,Used 2012 Lexus IS 250 Base,6-Speed Automatic | AWD,18998,MN,lexus,IS,2012,,0,0,auto,AWD,Nebula Gray Pearl,Black
75,699830100,51520,Used 2010 Lexus IS 250,6-Speed Automatic | AWD,17796,IL,lexus,IS,2010,,0,0,auto,AWD,Matador Red,
76,692405163,0,Used 2007 Lexus IS 250,6-Speed Automatic | AWD,11900,NJ,lexus,IS,2007,,0,0,auto,AWD,Black,Tan
77,695512194,0,Used 2010 Lexus IS 250C,RWD,21995,FL,lexus,IS,2010,,0,0,,RWD,Metallic,Black
78,698506909,10,Used 2008 Lexus IS 250,6-Speed Automatic | AWD,41000,IL,lexus,IS,2008,,0,0,auto,AWD,Eminent White Pearl,Parchment
79,690826408,125,Certified 2016 Lexus IS 200t,8-Speed Automatic | RWD,35000,IL,lexus,IS,2016,,1,0,auto,RWD,Eminent White Pearl,Flaxen
80,694839700,1144,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,27997,UT,lexus,IS,2016,,0,0,auto,AWD,Nebula Gray Pearl,Black
81,685093175,1395,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,24299,NV,lexus,IS,2016,,0,0,auto,RWD,Silver,
82,696637806,1780,Used 2017 Lexus IS 200t Base,8-Speed Automatic | RWD,38208,FL,lexus,IS,2017,,0,0,auto,RWD,Nebula Gray Pearl,Red
83,697041253,2359,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,36000,VA,lexus,IS,2016,,0,0,auto,AWD,Obsidian Black,Flaxen
84,678345351,2501,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,27997,UT,lexus,IS,2016,,0,0,auto,AWD,Silver,
85,699215981,2560,Used 2015 Lexus IS 250C Base,6-Speed Automatic | RWD,40500,TX,lexus,IS,2015,,0,0,auto,RWD,Silver Lining Metallic,Light Gray
86,699619182,3479,Used 2014 Lexus IS 250C,Automatic | RWD,38756,VA,lexus,IS,2014,,0,0,auto,RWD,Starfire Pearl,
87,689838797,3582,Used 2017 Lexus IS 300,6-Speed Automatic | AWD,44715,RI,lexus,IS,2017,,0,0,auto,AWD,Eminent White Pearl,Chateau
88,681287922,4185,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,45180,RI,lexus,IS,2016,,0,0,auto,AWD,Nebula Gray Pearl,Black
89,697208170,4308,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,30774,TX,lexus,IS,2016,,0,0,auto,RWD,Atomic Silver,Tan
90,698799478,4330,Used 2013 Lexus IS 250C,6-Speed Automatic | RWD,32995,AL,lexus,IS,2013,,0,0,auto,RWD,Obsidian Black,Black
91,698592382,4513,Used 2015 Lexus IS 250 NAV PARK ASST BLIND SPOT CLMT STS LED 18IN WLS 6K,6-Speed Automatic | RWD,31450,TX,lexus,IS,2015,,0,0,auto,RWD,Atomic Silver,Gray
92,693447455,4987,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,26450,VA,lexus,IS,2015,,0,0,auto,AWD,Gray,Black
93,698059826,5061,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,36996,PA,lexus,IS,2016,,1,0,auto,AWD,Silver Lining Metallic,Black
94,681804767,5165,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,33950,RI,lexus,IS,2016,,0,0,auto,AWD,Obsidian Black,Parchment
95,693098231,5337,Used 2015 Lexus IS 250 250,6-Speed Automatic w/OD | RWD,28857,FL,lexus,IS,2015,,0,0,auto,RWD,Matador Red Mica,Alabaster
96,692254535,5389,Used 2015 Lexus IS 250 F SPORT,6-Speed Automatic | AWD,27499,UT,lexus,IS,2015,,0,0,auto,AWD,Silver,Black
97,690329656,5461,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,33995,NY,lexus,IS,2016,,1,0,auto,AWD,Nebula Gray Pearl,Black
98,693890700,5522,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,23999,GA,lexus,IS,2015,,0,0,auto,RWD,Red,Tan
99,695046789,6101,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,34995,NY,lexus,IS,2016,,1,0,auto,AWD,Eminent White Pearl,Black
100,698287146,6185,Certified 2014 Lexus IS 250C Base,6-Speed Automatic | RWD,38995,NY,lexus,IS,2014,,1,0,auto,RWD,Starfire Pearl,Saddle
101,697376691,6201,Used 2014 Lexus IS 250,6-Speed Automatic | RWD,29000,TX,lexus,IS,2014,,0,0,auto,RWD,Ultra White,Flaxen
102,699430315,6240,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | RWD,29624,AZ,lexus,IS,2015,,0,0,auto,RWD,Silver,Light Gray
103,697862651,6605,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,34000,KY,lexus,IS,2016,,1,0,auto,RWD,Redline,Black
104,691314100,6693,Used 2015 Lexus IS 250 Crafted Line,6-Speed Automatic | RWD,24957,OR,lexus,IS,2015,,0,0,auto,RWD,Silver Lining Metallic,White
105,683395143,6855,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,45040,RI,lexus,IS,2016,,0,0,auto,AWD,Atomic Silver,Black
106,698455974,6933,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33799,TX,lexus,IS,2016,,0,0,auto,RWD,Redline,Flaxen
107,699421537,7408,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,21999,CA,lexus,IS,2016,,0,0,auto,RWD,Gray,Black
108,697035045,7465,Certified 2016 Lexus IS 200t Base,8-Speed Automatic w/OD | RWD,33888,CA,lexus,IS,2016,,1,0,auto,RWD,Nebula Gray Pearl,Black
109,699482081,7581,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33876,AZ,lexus,IS,2016,,1,0,auto,RWD,Atomic Silver,Gray
110,699727230,7907,Used 2015 Lexus IS 250C Base,6-Speed Automatic | RWD,36900,VA,lexus,IS,2015,,0,0,auto,RWD,Deep Sea Mica,Brown
111,678501538,7915,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,35999,RI,lexus,IS,2016,,0,0,auto,AWD,Eminent White Pearl,Parchment
112,682438723,7989,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,34000,UT,lexus,IS,2016,,0,0,auto,AWD,Nebula Gray Pearl,Black
113,687036105,8120,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,31749,CO,lexus,IS,2016,,0,0,auto,RWD,Eminent White Pearl,Black
114,699603949,8245,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,27409,SC,lexus,IS,2014,,0,0,auto,RWD,Ultra White,Black
115,698654336,8619,Used 2015 Lexus IS 250 F-SPORT PKG.,6-Speed Automatic | RWD,35950,FL,lexus,IS,2015,,0,0,auto,RWD,Silver,
116,698681035,8638,Certified 2015 Lexus IS 250 SPORT,6-Speed Automatic | RWD,30892,CA,lexus,IS,2015,,1,0,auto,RWD,Starfire Pearl,Parchment
117,690464370,8699,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,32000,MD,lexus,IS,2016,,0,0,auto,AWD,Eminent White Pearl,Black
118,696376683,8930,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,29885,VA,lexus,IS,2015,,0,0,auto,AWD,Obsidian Black,Black
119,694463249,9121,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,28499,GA,lexus,IS,2016,,0,0,auto,RWD,White,Black
120,698655779,9225,Used 2015 Lexus IS 250 250 NAVIGATION BLIND SPOT MONITOR&amp;HEATED/COOLED,6-Speed Automatic | AWD,30447,TX,lexus,IS,2015,,0,0,auto,AWD,Atomic Silver,Flaxen
121,699750836,9226,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,30867,CA,lexus,IS,2016,,0,0,auto,RWD,Red,
122,698968311,9353,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,33552,GA,lexus,IS,2016,,1,0,auto,RWD,Obsidian Black,Gray
123,697515896,9354,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,30993,GA,lexus,IS,2016,,1,0,auto,RWD,Eminent White Pearl,Parchment
124,696973904,9460,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,29994,GA,lexus,IS,2016,,0,0,auto,RWD,Eminent White Pearl,Parchment
125,682102719,9712,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,44905,RI,lexus,IS,2016,,0,0,auto,AWD,Obsidian Black,Parchment
126,673555058,9803,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,39000,RI,lexus,IS,2016,,0,0,auto,AWD,Atomic Silver,Flaxen
127,696753673,9830,Used 2015 Lexus IS 250,6-Speed Automatic | AWD,31555,CA,lexus,IS,2015,,0,0,auto,AWD,Nebula Gray Pearl,Black
128,696616283,9929,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,26500,KS,lexus,IS,2015,,0,0,auto,RWD,Obsidian Black,Flaxen
129,698818049,9994,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,31799,GA,lexus,IS,2016,,0,0,auto,AWD,Nebula Gray Pearl,Gray
130,696879447,10010,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | AWD,29000,OR,lexus,IS,2015,,0,0,auto,AWD,Obsidian Black,Parchment
131,695088408,10028,Certified 2015 Lexus IS 250 SPORT,6-Speed Automatic | AWD,36991,NJ,lexus,IS,2015,,1,0,auto,AWD,Gray,Black
132,698231128,10072,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,32995,NJ,lexus,IS,2016,,0,0,auto,AWD,Ultra White,Black
133,697518145,10234,Certified 2015 Lexus IS 250 250,6-Speed Automatic w/OD | RWD,29997,FL,lexus,IS,2015,,1,0,auto,RWD,Nebula Gray Pearl,Black
134,694745636,10298,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,27599,NC,lexus,IS,2015,,0,0,auto,RWD,Obsidian Black,Gray
135,697947823,10447,Certified 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,35499,CA,lexus,IS,2016,,1,0,auto,RWD,Silver,Black
136,691485990,10464,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,26499,CO,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Gray
137,700320409,10498,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,28991,MA,lexus,IS,2016,,0,0,auto,RWD,Obsidian Black,Black
138,694401043,10565,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,32677,AZ,lexus,IS,2016,,0,0,auto,AWD,Ultra White,
139,693860349,10980,Used 2015 Lexus IS 250 SPORT,6-Speed Automatic | AWD,25980,TN,lexus,IS,2015,,0,0,auto,AWD,Gray,Teal
140,689470523,10995,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,27827,KY,lexus,IS,2015,,0,0,auto,AWD,Gray,
141,696009992,10998,Certified 2015 Lexus IS 250 250,6-Speed Automatic | AWD,30500,CO,lexus,IS,2015,,1,0,auto,AWD,Matador Red Mica,Parchment
142,700436717,11227,Used 2015 Lexus IS 250,6-Speed Automatic | AWD,32905,MO,lexus,IS,2015,,0,0,auto,AWD,Atomic Silver,Black
143,694965613,11234,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,33995,NY,lexus,IS,2016,,1,0,auto,AWD,Eminent White Pearl,Black
144,699922878,11249,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,28244,TX,lexus,IS,2014,,0,0,auto,RWD,Gray,
145,699317265,11463,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,28998,CA,lexus,IS,2015,,0,0,auto,RWD,Nebula Gray Pearl,Black
146,697865063,11487,Used 2015 Lexus IS 250 F SPORT,6-Speed Automatic | AWD,31500,NJ,lexus,IS,2015,,0,0,auto,AWD,Ultra White,Red
147,697155348,11522,Used 2016 Lexus IS 200t,8-Speed Automatic | RWD,28499,GA,lexus,IS,2016,,0,0,auto,RWD,White,Tan
148,696082738,11656,Certified 2014 Lexus IS 250 Base,6-Speed Automatic | AWD,28988,MA,lexus,IS,2014,,1,0,auto,AWD,Matador Red Mica,Black
149,698531094,11662,Used 2015 Lexus IS 250 250,Automatic | RWD,25878,GA,lexus,IS,2015,,0,0,auto,RWD,Ultrasonic Blue,Parchment
150,698224511,11838,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,28900,TX,lexus,IS,2016,,0,0,auto,RWD,Gray,Gray
151,692775324,11841,Certified 2016 Lexus IS 300,6-Speed Automatic | AWD,31495,IN,lexus,IS,2016,,1,0,auto,AWD,Silver Lining Metallic,Black
152,698644309,11850,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,26990,CA,lexus,IS,2015,,0,0,auto,RWD,Obsidian Black,Black
153,697297275,11911,Used 2016 Lexus IS 300,6-Speed Automatic | AWD,35999,PA,lexus,IS,2016,,0,0,auto,AWD,Ultrasonic Blue Mica,
154,687577228,11983,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,28496,TX,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Black
155,696070681,11987,Certified 2015 Lexus IS 250C Base,6-Speed Automatic | RWD,43991,NJ,lexus,IS,2015,,1,0,auto,RWD,Black,Saddle
156,699548315,12037,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,30000,MA,lexus,IS,2015,,0,0,auto,AWD,Black,
157,698424953,12038,Used 2015 Lexus IS 250 Base,6-Speed Automatic | RWD,29688,TX,lexus,IS,2015,,0,0,auto,RWD,Silver,Black
158,673105637,12110,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,17997,UT,lexus,IS,2014,,0,0,auto,RWD,Nebula Gray Pearl,
159,695274020,12126,Used 2015 Lexus IS 250,6-Speed Automatic | AWD,26990,IL,lexus,IS,2015,,0,0,auto,AWD,Ultra White,
160,694479674,12520,Used 2016 Lexus IS 200t Base,8-Speed Automatic | RWD,27500,GA,lexus,IS,2016,,0,0,auto,RWD,Eminent White Pearl,Black
161,682704644,12526,Used 2015 Lexus IS 250 SPORT SDN,6-Speed Automatic | RWD,26950,MO,lexus,IS,2015,,0,0,auto,RWD,Matador Red Mica,Parchment
162,691877752,12619,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,31275,NY,lexus,IS,2015,,0,0,auto,AWD,Atomic Silver,Light Gray
163,698076628,12726,Used 2015 Lexus IS 250 BLIND SPOT PARK ASSIST 18&#x27;S,6-Speed Automatic | RWD,29995,VA,lexus,IS,2015,,0,0,auto,RWD,Obsidian Black,Parchment
164,697730188,12761,Used 2015 Lexus IS 250 250,6-Speed Automatic | AWD,27424,OH,lexus,IS,2015,,0,0,auto,AWD,Nebula Gray Pearl,Black
165,697491726,12800,Used 2015 Lexus IS 250 Crafted Line,6-Speed Automatic | AWD,31599,GA,lexus,IS,2015,,0,0,auto,AWD,Black,Red
166,698829786,12893,Used 2014 Lexus IS 250 Base,6-Speed Automatic | RWD,24950,MO,lexus,IS,2014,,0,0,auto,RWD,Obsidian Black,Black
167,697469180,12901,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,25990,CA,lexus,IS,2015,,0,0,auto,RWD,Matador Red Mica,Black
168,697517431,13066,Used 2015 Lexus IS 250 250,6-Speed Automatic | RWD,27467,FL,lexus,IS,2015,,0,0,auto,RWD,Matador Red Mica,Stratus Gray
169,699308431,13249,Certified 2015 Lexus IS 250 250,6-Speed Automatic | RWD,31989,FL,lexus,IS,2015,,1,0,auto,RWD,Nebula Gray,Tan
170,698892146,13306,Certified 2015 Lexus IS 250 SPORT,6-Speed Automatic | AWD,31900,RI,lexus,IS,2015,,1,0,auto,AWD,Silver Lining Metallic,Black
171,684779571,13378,Used 2014 Lexus IS 250C Base,6-Speed Automatic | RWD,30977,IL,lexus,IS,2014,,0,0,auto,RWD,Ultra White,Black
172,693465277,13389,Used 2015 Lexus IS 250,6-Speed Automatic | RWD,30900,NV,lexus,IS,2015,,0,0,auto,RWD,Silver,Black
